"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"DSRTSL_2_SOLAR1","Desert Stateline",296.19,213626,274.31,4,3,0.0190200230320592,2.94293993090382,NA
"DSRTSL_2_SOLAR1","Desert Stateline",296.19,242438,275,5,2,0.0370428197821929,1.92591436043561,NA
"DSRTSN_2_DS2X2","Desert Sunlight PV II Storage",230,263628,208.96,1,2,0.0325925925925926,1.93481481481481,1
"DUANE_1_PL1X3","DONALD VON RAESFELD POWER PROJECT",147.8,514544,141,1,3,2.25569122463524e-16,3,0.354074074074074
"DUANE_1_PL1X3","DONALD VON RAESFELD POWER PROJECT",147.8,576455,150,2,2,0.0311111111111113,1.93777777777778,NA
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",235,319098,250,1,25,0.025597022556391,24.3600744360902,0.0760153911964163
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",235,705107,241.5,2,23,0.0213767892062171,22.508333848257,NA
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",235,178320,226.84,3,21,0.0310909090909091,20.3470909090909,NA
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",235,289323,250,4,20,0.022407561255595,19.5518487748881,NA
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",235,407814,235,5,17,0.00481483563324996,16.9181477942348,NA
"EASTWD_7_UNIT","EASTWOOD PUMP-GEN",200,983166,200,1,2,0.0222222222222222,1.95555555555556,1
"EDWARD_2_ESSSB2","Sanborn Solar 2",132,170587,133,1,2,0.0137271557271557,1.97254568854569,0.00382470306680882
"EDWARD_2_ESSSB2","Sanborn Solar 2",132,166745,125,2,2,0.0174993564993565,1.96500128700129,NA
"EDWARD_2_ESSSB2","Sanborn Solar 2",132,264747,140,3,2,0.0176666666666666,1.96466666666667,NA
